filepath,label
..\data\binario\NoApto\Eyes_Closed_00621.jpg,NoApto
..\data\binario\NoApto\Bostezo_02689.jpg,NoApto
..\data\binario\NoApto\Bostezo_01665.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00521.jpg,NoApto
..\data\binario\Apto\Atento_01334.jpg,Apto
..\data\binario\NoApto\Bostezo_02378.jpg,NoApto
..\data\binario\Apto\Atento_00329.jpg,Apto
..\data\binario\Apto\Atento_04423.jpg,Apto
..\data\binario\Apto\Atento_00745.jpg,Apto
..\data\binario\Apto\Atento_04197.jpg,Apto
..\data\binario\NoApto\Bostezo_01537.jpg,NoApto
..\data\binario\NoApto\Bostezo_00381.jpg,NoApto
..\data\binario\Apto\Atento_01815.jpg,Apto
..\data\binario\Apto\Atento_02998.jpg,Apto
..\data\binario\NoApto\Bostezo_01081.jpg,NoApto
..\data\binario\NoApto\Bostezo_01362.jpg,NoApto
..\data\binario\Apto\Atento_01151.jpg,Apto
..\data\binario\NoApto\Bostezo_02701.jpg,NoApto
..\data\binario\NoApto\Bostezo_02932.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00584.jpg,NoApto
..\data\binario\Apto\Atento_00964.jpg,Apto
..\data\binario\Apto\Atento_02228.jpg,Apto
..\data\binario\Apto\Atento_04964.jpg,Apto
..\data\binario\Apto\Atento_04008.jpg,Apto
..\data\binario\Apto\Atento_04582.jpg,Apto
..\data\binario\Apto\Atento_00916.jpg,Apto
..\data\binario\Apto\Atento_04265.jpg,Apto
..\data\binario\Apto\Atento_00068.jpg,Apto
..\data\binario\Apto\Atento_03123.jpg,Apto
..\data\binario\Apto\Atento_03334.jpg,Apto
..\data\binario\Apto\Atento_04944.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00636.jpg,NoApto
..\data\binario\Apto\Atento_00464.jpg,Apto
..\data\binario\Apto\Atento_02796.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00259.jpg,NoApto
..\data\binario\Apto\Atento_03422.jpg,Apto
..\data\binario\Apto\Atento_00084.jpg,Apto
..\data\binario\Apto\Atento_04762.jpg,Apto
..\data\binario\Apto\Atento_03972.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00299.jpg,NoApto
..\data\binario\Apto\Atento_04906.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01318.jpg,NoApto
..\data\binario\Apto\Atento_00469.jpg,Apto
..\data\binario\Apto\Atento_04353.jpg,Apto
..\data\binario\Apto\Atento_02155.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00164.jpg,NoApto
..\data\binario\Apto\Atento_03139.jpg,Apto
..\data\binario\Apto\Atento_04151.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00324.jpg,NoApto
..\data\binario\NoApto\Bostezo_00449.jpg,NoApto
..\data\binario\NoApto\Bostezo_01218.jpg,NoApto
..\data\binario\NoApto\Bostezo_00051.jpg,NoApto
..\data\binario\NoApto\Bostezo_01389.jpg,NoApto
..\data\binario\Apto\Atento_01894.jpg,Apto
..\data\binario\NoApto\Bostezo_03422.jpg,NoApto
..\data\binario\NoApto\Bostezo_03044.jpg,NoApto
..\data\binario\Apto\Atento_00838.jpg,Apto
..\data\binario\Apto\Atento_03176.jpg,Apto
..\data\binario\NoApto\Bostezo_03249.jpg,NoApto
..\data\binario\Apto\Atento_00787.jpg,Apto
..\data\binario\Apto\Atento_03462.jpg,Apto
..\data\binario\NoApto\Bostezo_01797.jpg,NoApto
..\data\binario\Apto\Atento_01956.jpg,Apto
..\data\binario\NoApto\Bostezo_00980.jpg,NoApto
..\data\binario\NoApto\Bostezo_00136.jpg,NoApto
..\data\binario\Apto\Atento_03504.jpg,Apto
..\data\binario\Apto\Atento_03548.jpg,Apto
..\data\binario\NoApto\Bostezo_03090.jpg,NoApto
..\data\binario\NoApto\Bostezo_01832.jpg,NoApto
..\data\binario\Apto\Atento_01374.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00125.jpg,NoApto
..\data\binario\Apto\Atento_03096.jpg,Apto
..\data\binario\Apto\Atento_01024.jpg,Apto
..\data\binario\NoApto\Bostezo_02348.jpg,NoApto
..\data\binario\Apto\Atento_03887.jpg,Apto
..\data\binario\NoApto\Bostezo_02668.jpg,NoApto
..\data\binario\NoApto\Bostezo_00368.jpg,NoApto
..\data\binario\NoApto\Bostezo_03475.jpg,NoApto
..\data\binario\NoApto\Bostezo_01429.jpg,NoApto
..\data\binario\NoApto\Bostezo_01061.jpg,NoApto
..\data\binario\Apto\Atento_01195.jpg,Apto
..\data\binario\NoApto\Bostezo_02055.jpg,NoApto
..\data\binario\Apto\Atento_00265.jpg,Apto
..\data\binario\Apto\Atento_02683.jpg,Apto
..\data\binario\NoApto\Bostezo_00444.jpg,NoApto
..\data\binario\Apto\Atento_00297.jpg,Apto
..\data\binario\NoApto\Bostezo_03450.jpg,NoApto
..\data\binario\Apto\Atento_03253.jpg,Apto
..\data\binario\NoApto\Bostezo_01651.jpg,NoApto
..\data\binario\NoApto\Bostezo_02921.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00168.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01155.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00612.jpg,NoApto
..\data\binario\Apto\Atento_00382.jpg,Apto
..\data\binario\NoApto\Bostezo_00496.jpg,NoApto
..\data\binario\Apto\Atento_03333.jpg,Apto
..\data\binario\NoApto\Bostezo_02008.jpg,NoApto
..\data\binario\Apto\Atento_03982.jpg,Apto
..\data\binario\Apto\Atento_01071.jpg,Apto
..\data\binario\Apto\Atento_04692.jpg,Apto
..\data\binario\Apto\Atento_00997.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00640.jpg,NoApto
..\data\binario\NoApto\Bostezo_00865.jpg,NoApto
..\data\binario\NoApto\Bostezo_00568.jpg,NoApto
..\data\binario\Apto\Atento_00669.jpg,Apto
..\data\binario\NoApto\Bostezo_02825.jpg,NoApto
..\data\binario\Apto\Atento_02201.jpg,Apto
..\data\binario\Apto\Atento_02650.jpg,Apto
..\data\binario\Apto\Atento_01032.jpg,Apto
..\data\binario\NoApto\Bostezo_00245.jpg,NoApto
..\data\binario\Apto\Atento_01402.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00092.jpg,NoApto
..\data\binario\NoApto\Bostezo_00945.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00632.jpg,NoApto
..\data\binario\Apto\Atento_04776.jpg,Apto
..\data\binario\Apto\Atento_02354.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01243.jpg,NoApto
..\data\binario\Apto\Atento_00406.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00959.jpg,NoApto
..\data\binario\Apto\Atento_03021.jpg,Apto
..\data\binario\Apto\Atento_02191.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00777.jpg,NoApto
..\data\binario\NoApto\Bostezo_01929.jpg,NoApto
..\data\binario\Apto\Atento_01025.jpg,Apto
..\data\binario\Apto\Atento_02084.jpg,Apto
..\data\binario\Apto\Atento_00519.jpg,Apto
..\data\binario\Apto\Atento_02388.jpg,Apto
..\data\binario\NoApto\Bostezo_03399.jpg,NoApto
..\data\binario\NoApto\Bostezo_00664.jpg,NoApto
..\data\binario\Apto\Atento_04858.jpg,Apto
..\data\binario\NoApto\Bostezo_02205.jpg,NoApto
..\data\binario\Apto\Atento_01525.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00489.jpg,NoApto
..\data\binario\Apto\Atento_00365.jpg,Apto
..\data\binario\Apto\Atento_03181.jpg,Apto
..\data\binario\NoApto\Bostezo_01021.jpg,NoApto
..\data\binario\Apto\Atento_04563.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00194.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00683.jpg,NoApto
..\data\binario\NoApto\Bostezo_01524.jpg,NoApto
..\data\binario\Apto\Atento_02320.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01036.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00676.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01332.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01013.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00542.jpg,NoApto
..\data\binario\Apto\Atento_00010.jpg,Apto
..\data\binario\Apto\Atento_03127.jpg,Apto
..\data\binario\NoApto\Bostezo_03169.jpg,NoApto
..\data\binario\Apto\Atento_02605.jpg,Apto
..\data\binario\Apto\Atento_00423.jpg,Apto
..\data\binario\Apto\Atento_00163.jpg,Apto
..\data\binario\Apto\Atento_04381.jpg,Apto
..\data\binario\NoApto\Bostezo_01806.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00084.jpg,NoApto
..\data\binario\NoApto\Bostezo_00883.jpg,NoApto
..\data\binario\Apto\Atento_04681.jpg,Apto
..\data\binario\NoApto\Bostezo_03446.jpg,NoApto
..\data\binario\NoApto\Bostezo_01369.jpg,NoApto
..\data\binario\NoApto\Bostezo_02526.jpg,NoApto
..\data\binario\NoApto\Bostezo_00469.jpg,NoApto
..\data\binario\Apto\Atento_02778.jpg,Apto
..\data\binario\Apto\Atento_04963.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01000.jpg,NoApto
..\data\binario\Apto\Atento_04752.jpg,Apto
..\data\binario\Apto\Atento_03485.jpg,Apto
..\data\binario\NoApto\Bostezo_01668.jpg,NoApto
..\data\binario\NoApto\Bostezo_02732.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01377.jpg,NoApto
..\data\binario\Apto\Atento_01010.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00308.jpg,NoApto
..\data\binario\NoApto\Bostezo_00149.jpg,NoApto
..\data\binario\NoApto\Bostezo_00533.jpg,NoApto
..\data\binario\Apto\Atento_02233.jpg,Apto
..\data\binario\Apto\Atento_03912.jpg,Apto
..\data\binario\NoApto\Bostezo_02856.jpg,NoApto
..\data\binario\Apto\Atento_00431.jpg,Apto
..\data\binario\NoApto\Bostezo_03051.jpg,NoApto
..\data\binario\Apto\Atento_03558.jpg,Apto
..\data\binario\NoApto\Bostezo_00585.jpg,NoApto
..\data\binario\NoApto\Bostezo_02340.jpg,NoApto
..\data\binario\Apto\Atento_04663.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01058.jpg,NoApto
..\data\binario\Apto\Atento_00879.jpg,Apto
..\data\binario\Apto\Atento_01491.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00097.jpg,NoApto
..\data\binario\Apto\Atento_02622.jpg,Apto
..\data\binario\NoApto\Bostezo_00877.jpg,NoApto
..\data\binario\Apto\Atento_03983.jpg,Apto
..\data\binario\Apto\Atento_00281.jpg,Apto
..\data\binario\Apto\Atento_04183.jpg,Apto
..\data\binario\Apto\Atento_03816.jpg,Apto
..\data\binario\Apto\Atento_01927.jpg,Apto
..\data\binario\NoApto\Bostezo_00205.jpg,NoApto
..\data\binario\NoApto\Bostezo_00620.jpg,NoApto
..\data\binario\Apto\Atento_03892.jpg,Apto
..\data\binario\NoApto\Bostezo_02805.jpg,NoApto
..\data\binario\Apto\Atento_00540.jpg,Apto
..\data\binario\NoApto\Bostezo_00003.jpg,NoApto
..\data\binario\Apto\Atento_01786.jpg,Apto
..\data\binario\NoApto\Bostezo_02199.jpg,NoApto
..\data\binario\NoApto\Bostezo_01861.jpg,NoApto
..\data\binario\Apto\Atento_04002.jpg,Apto
..\data\binario\Apto\Atento_01928.jpg,Apto
..\data\binario\Apto\Atento_01239.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00267.jpg,NoApto
..\data\binario\Apto\Atento_00835.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01089.jpg,NoApto
..\data\binario\Apto\Atento_01185.jpg,Apto
..\data\binario\Apto\Atento_01423.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01178.jpg,NoApto
..\data\binario\Apto\Atento_02083.jpg,Apto
..\data\binario\NoApto\Bostezo_02636.jpg,NoApto
..\data\binario\NoApto\Bostezo_00166.jpg,NoApto
..\data\binario\NoApto\Bostezo_03200.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01272.jpg,NoApto
..\data\binario\Apto\Atento_01134.jpg,Apto
..\data\binario\Apto\Atento_02664.jpg,Apto
..\data\binario\Apto\Atento_01533.jpg,Apto
..\data\binario\Apto\Atento_03654.jpg,Apto
..\data\binario\NoApto\Bostezo_02088.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00234.jpg,NoApto
..\data\binario\NoApto\Bostezo_03356.jpg,NoApto
..\data\binario\Apto\Atento_03263.jpg,Apto
..\data\binario\Apto\Atento_01729.jpg,Apto
..\data\binario\Apto\Atento_03493.jpg,Apto
..\data\binario\Apto\Atento_01902.jpg,Apto
..\data\binario\Apto\Atento_02991.jpg,Apto
..\data\binario\NoApto\Bostezo_01092.jpg,NoApto
..\data\binario\Apto\Atento_01309.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00128.jpg,NoApto
..\data\binario\Apto\Atento_04872.jpg,Apto
..\data\binario\NoApto\Bostezo_00535.jpg,NoApto
..\data\binario\NoApto\Bostezo_01345.jpg,NoApto
..\data\binario\Apto\Atento_01600.jpg,Apto
..\data\binario\Apto\Atento_02969.jpg,Apto
..\data\binario\Apto\Atento_01209.jpg,Apto
..\data\binario\Apto\Atento_03702.jpg,Apto
..\data\binario\NoApto\Bostezo_02718.jpg,NoApto
..\data\binario\NoApto\Bostezo_02271.jpg,NoApto
..\data\binario\Apto\Atento_02464.jpg,Apto
..\data\binario\Apto\Atento_04546.jpg,Apto
..\data\binario\Apto\Atento_01227.jpg,Apto
..\data\binario\Apto\Atento_02007.jpg,Apto
..\data\binario\Apto\Atento_04096.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00781.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00201.jpg,NoApto
..\data\binario\Apto\Atento_01186.jpg,Apto
..\data\binario\Apto\Atento_01727.jpg,Apto
..\data\binario\NoApto\Bostezo_02349.jpg,NoApto
..\data\binario\Apto\Atento_01700.jpg,Apto
..\data\binario\NoApto\Bostezo_02558.jpg,NoApto
..\data\binario\Apto\Atento_03235.jpg,Apto
..\data\binario\Apto\Atento_04585.jpg,Apto
..\data\binario\NoApto\Bostezo_02681.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00411.jpg,NoApto
..\data\binario\NoApto\Bostezo_00164.jpg,NoApto
..\data\binario\NoApto\Bostezo_03382.jpg,NoApto
..\data\binario\NoApto\Bostezo_01214.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00820.jpg,NoApto
..\data\binario\NoApto\Bostezo_02238.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00687.jpg,NoApto
..\data\binario\Apto\Atento_00511.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00487.jpg,NoApto
..\data\binario\Apto\Atento_00689.jpg,Apto
..\data\binario\NoApto\Bostezo_02196.jpg,NoApto
..\data\binario\Apto\Atento_02216.jpg,Apto
..\data\binario\NoApto\Bostezo_01031.jpg,NoApto
..\data\binario\NoApto\Bostezo_02980.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00750.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_01144.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00253.jpg,NoApto
..\data\binario\NoApto\Bostezo_02043.jpg,NoApto
..\data\binario\NoApto\Bostezo_00050.jpg,NoApto
..\data\binario\Apto\Atento_01833.jpg,Apto
..\data\binario\Apto\Atento_04289.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01282.jpg,NoApto
..\data\binario\Apto\Atento_03565.jpg,Apto
..\data\binario\NoApto\Bostezo_03469.jpg,NoApto
..\data\binario\Apto\Atento_00440.jpg,Apto
..\data\binario\NoApto\Bostezo_00141.jpg,NoApto
..\data\binario\Apto\Atento_03378.jpg,Apto
..\data\binario\NoApto\Bostezo_02132.jpg,NoApto
..\data\binario\NoApto\Bostezo_01224.jpg,NoApto
..\data\binario\NoApto\Bostezo_00190.jpg,NoApto
..\data\binario\NoApto\Bostezo_03401.jpg,NoApto
..\data\binario\Apto\Atento_04901.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00204.jpg,NoApto
..\data\binario\NoApto\Bostezo_00276.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00343.jpg,NoApto
..\data\binario\NoApto\Bostezo_02464.jpg,NoApto
..\data\binario\NoApto\Bostezo_01400.jpg,NoApto
..\data\binario\Apto\Atento_02209.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00908.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00390.jpg,NoApto
..\data\binario\Apto\Atento_02189.jpg,Apto
..\data\binario\Apto\Atento_00920.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00395.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00740.jpg,NoApto
..\data\binario\Apto\Atento_04709.jpg,Apto
..\data\binario\Apto\Atento_04088.jpg,Apto
..\data\binario\Apto\Atento_03257.jpg,Apto
..\data\binario\NoApto\Bostezo_02122.jpg,NoApto
..\data\binario\Apto\Atento_04760.jpg,Apto
..\data\binario\Apto\Atento_01587.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_01235.jpg,NoApto
..\data\binario\Apto\Atento_04269.jpg,Apto
..\data\binario\NoApto\Bostezo_00172.jpg,NoApto
..\data\binario\Apto\Atento_04099.jpg,Apto
..\data\binario\NoApto\Bostezo_02688.jpg,NoApto
..\data\binario\NoApto\Bostezo_02892.jpg,NoApto
..\data\binario\NoApto\Bostezo_02727.jpg,NoApto
..\data\binario\NoApto\Bostezo_00522.jpg,NoApto
..\data\binario\Apto\Atento_01178.jpg,Apto
..\data\binario\NoApto\Bostezo_00354.jpg,NoApto
..\data\binario\Apto\Atento_03802.jpg,Apto
..\data\binario\NoApto\Bostezo_00726.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00501.jpg,NoApto
..\data\binario\Apto\Atento_02154.jpg,Apto
..\data\binario\Apto\Atento_01641.jpg,Apto
..\data\binario\Apto\Atento_04511.jpg,Apto
..\data\binario\Apto\Atento_01228.jpg,Apto
..\data\binario\Apto\Atento_02135.jpg,Apto
..\data\binario\Apto\Atento_00468.jpg,Apto
..\data\binario\NoApto\Bostezo_03483.jpg,NoApto
..\data\binario\NoApto\Bostezo_02290.jpg,NoApto
..\data\binario\Apto\Atento_02573.jpg,Apto
..\data\binario\Apto\Atento_01543.jpg,Apto
..\data\binario\Apto\Atento_00239.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00654.jpg,NoApto
..\data\binario\NoApto\Bostezo_02836.jpg,NoApto
..\data\binario\NoApto\Bostezo_02252.jpg,NoApto
..\data\binario\Apto\Atento_04147.jpg,Apto
..\data\binario\Apto\Atento_01221.jpg,Apto
..\data\binario\NoApto\Bostezo_00685.jpg,NoApto
..\data\binario\Apto\Atento_03258.jpg,Apto
..\data\binario\Apto\Atento_04189.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00514.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00466.jpg,NoApto
..\data\binario\NoApto\Bostezo_03349.jpg,NoApto
..\data\binario\NoApto\Bostezo_00723.jpg,NoApto
..\data\binario\NoApto\Bostezo_00068.jpg,NoApto
..\data\binario\NoApto\Bostezo_02995.jpg,NoApto
..\data\binario\Apto\Atento_00434.jpg,Apto
..\data\binario\NoApto\Bostezo_02195.jpg,NoApto
..\data\binario\Apto\Atento_03103.jpg,Apto
..\data\binario\NoApto\Bostezo_01589.jpg,NoApto
..\data\binario\Apto\Atento_00968.jpg,Apto
..\data\binario\Apto\Atento_04894.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00281.jpg,NoApto
..\data\binario\Apto\Atento_00588.jpg,Apto
..\data\binario\NoApto\Bostezo_03350.jpg,NoApto
..\data\binario\Apto\Atento_04262.jpg,Apto
..\data\binario\Apto\Atento_04321.jpg,Apto
..\data\binario\Apto\Atento_02183.jpg,Apto
..\data\binario\Apto\Atento_01618.jpg,Apto
..\data\binario\Apto\Atento_03834.jpg,Apto
..\data\binario\Apto\Atento_03681.jpg,Apto
..\data\binario\Apto\Atento_01443.jpg,Apto
..\data\binario\Apto\Atento_02436.jpg,Apto
..\data\binario\NoApto\Bostezo_02739.jpg,NoApto
..\data\binario\Apto\Atento_01429.jpg,Apto
..\data\binario\NoApto\Bostezo_00005.jpg,NoApto
..\data\binario\Apto\Atento_01539.jpg,Apto
..\data\binario\NoApto\Bostezo_03027.jpg,NoApto
..\data\binario\NoApto\Bostezo_02486.jpg,NoApto
..\data\binario\NoApto\Bostezo_00163.jpg,NoApto
..\data\binario\NoApto\Bostezo_02470.jpg,NoApto
..\data\binario\Apto\Atento_02109.jpg,Apto
..\data\binario\Apto\Atento_03308.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00037.jpg,NoApto
..\data\binario\Apto\Atento_01411.jpg,Apto
..\data\binario\Apto\Atento_03532.jpg,Apto
..\data\binario\NoApto\Bostezo_00055.jpg,NoApto
..\data\binario\Apto\Atento_00272.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00856.jpg,NoApto
..\data\binario\Apto\Atento_02270.jpg,Apto
..\data\binario\Apto\Atento_03097.jpg,Apto
..\data\binario\Apto\Atento_03566.jpg,Apto
..\data\binario\Apto\Atento_01285.jpg,Apto
..\data\binario\Apto\Atento_01477.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00601.jpg,NoApto
..\data\binario\NoApto\Bostezo_01787.jpg,NoApto
..\data\binario\NoApto\Bostezo_02591.jpg,NoApto
..\data\binario\Apto\Atento_03678.jpg,Apto
..\data\binario\Apto\Atento_00325.jpg,Apto
..\data\binario\NoApto\Bostezo_01688.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00790.jpg,NoApto
..\data\binario\NoApto\Eyes_Closed_00845.jpg,NoApto
..\data\binario\NoApto\Bostezo_01705.jpg,NoApto
..\data\binario\Apto\Atento_02585.jpg,Apto
..\data\binario\Apto\Atento_04733.jpg,Apto
..\data\binario\Apto\Atento_00139.jpg,Apto
..\data\binario\Apto\Atento_01999.jpg,Apto
..\data\binario\Apto\Atento_04849.jpg,Apto
..\data\binario\NoApto\Bostezo_00748.jpg,NoApto
..\data\binario\Apto\Atento_00757.jpg,Apto
..\data\binario\Apto\Atento_01281.jpg,Apto
..\data\binario\NoApto\Bostezo_01110.jpg,NoApto
..\data\binario\Apto\Atento_04899.jpg,Apto
..\data\binario\NoApto\Bostezo_01300.jpg,NoApto
..\data\binario\Apto\Atento_01143.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00680.jpg,NoApto
..\data\binario\Apto\Atento_01453.jpg,Apto
..\data\binario\Apto\Atento_04454.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00962.jpg,NoApto
..\data\binario\NoApto\Bostezo_01976.jpg,NoApto
..\data\binario\NoApto\Bostezo_00632.jpg,NoApto
..\data\binario\NoApto\Bostezo_01728.jpg,NoApto
..\data\binario\Apto\Atento_00708.jpg,Apto
..\data\binario\NoApto\Bostezo_01533.jpg,NoApto
..\data\binario\NoApto\Bostezo_01953.jpg,NoApto
..\data\binario\Apto\Atento_00322.jpg,Apto
..\data\binario\Apto\Atento_02513.jpg,Apto
..\data\binario\Apto\Atento_02603.jpg,Apto
..\data\binario\Apto\Atento_00496.jpg,Apto
..\data\binario\NoApto\Bostezo_01796.jpg,NoApto
..\data\binario\Apto\Atento_01172.jpg,Apto
..\data\binario\Apto\Atento_03003.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00567.jpg,NoApto
..\data\binario\Apto\Atento_04035.jpg,Apto
..\data\binario\NoApto\Bostezo_03192.jpg,NoApto
..\data\binario\Apto\Atento_02974.jpg,Apto
..\data\binario\Apto\Atento_02045.jpg,Apto
..\data\binario\NoApto\Bostezo_01550.jpg,NoApto
..\data\binario\Apto\Atento_01961.jpg,Apto
..\data\binario\Apto\Atento_02245.jpg,Apto
..\data\binario\Apto\Atento_03399.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00909.jpg,NoApto
..\data\binario\NoApto\Bostezo_01870.jpg,NoApto
..\data\binario\Apto\Atento_04532.jpg,Apto
..\data\binario\NoApto\Bostezo_00355.jpg,NoApto
..\data\binario\Apto\Atento_00573.jpg,Apto
..\data\binario\Apto\Atento_03316.jpg,Apto
..\data\binario\Apto\Atento_00338.jpg,Apto
..\data\binario\NoApto\Bostezo_02049.jpg,NoApto
..\data\binario\Apto\Atento_03590.jpg,Apto
..\data\binario\Apto\Atento_03718.jpg,Apto
..\data\binario\Apto\Atento_01520.jpg,Apto
..\data\binario\Apto\Atento_02457.jpg,Apto
..\data\binario\NoApto\Eyes_Closed_00736.jpg,NoApto
..\data\binario\NoApto\Bostezo_00150.jpg,NoApto
